Ref,Val,Package,PosX,PosY,Rot,Side
"D101","LED","LED_D3.0mm",158.080000,-108.463000,90.000000,top
"J101","Conn_01x07_Male","TE_282857-7",99.777500,-85.880000,-90.000000,top
"J102","Conn_01x03_Male","JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",102.310000,-109.220000,180.000000,top
"J103","Conn_01x06_Male","TE_282857-6",110.070000,-42.482500,0.000000,top
"J104","Conn_01x08_Male","TE_282857-8",146.870000,-42.482500,0.000000,top
"J105","Conn_01x04_Male","JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical",174.740000,-47.207500,90.000000,top
"J106","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",174.910000,-60.720000,0.000000,top
"J107","Conn_01x10_Male","TE_1-284392-0",174.977500,-86.430000,-90.000000,top
"R101","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",113.420000,-51.500000,0.000000,top
"R102","220","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",173.950000,-108.040000,180.000000,top
"SW101","SW_DIP_x03","SW_DIP_SPSTx03_Slide_6.7x9.18mm_W7.62mm_P2.54mm_LowProfile",95.680000,-59.765000,0.000000,top
"U101","ESP32-DEVKITC-32D","MODULE_ESP32-DEVKITC-32D",137.857500,-82.490000,0.000000,top
